,participant,task,trial,choice,reward,RT,expected_reward0,expected_reward1,forced_choice,horizon
477,0,63,2,1,41.0,0.356112,44,40,True,10
478,0,63,3,0,46.0,0.340189,44,40,True,10
479,0,63,4,1,42.0,2.380908,44,40,False,10
480,0,63,5,1,31.0,0.297706,44,40,False,10
481,0,63,6,0,46.0,0.444918,44,40,False,10
482,0,63,7,0,53.0,0.167403,44,40,False,10
483,0,63,8,0,48.0,0.086017,44,40,False,10
484,0,63,9,0,47.0,0.087226,44,40,False,10
485,0,64,0,1,57.0,0.302598,60,56,True,5
486,0,64,1,0,59.0,0.26566,60,56,True,5
487,0,64,2,1,48.0,0.308313,60,56,True,5
488,0,64,3,1,46.0,0.535193,60,56,True,5
489,0,64,4,0,51.0,1.086802,60,56,False,5
490,0,65,0,1,59.0,0.306521,60,52,True,10
491,0,65,1,1,45.0,0.292634,60,52,True,10
492,0,65,2,0,58.0,0.326708,60,52,True,10
493,0,65,3,1,46.0,0.311551,60,52,True,10
494,0,65,4,0,50.0,0.647927,60,52,False,10
495,0,65,5,1,48.0,1.092408,60,52,False,10
496,0,65,6,0,55.0,0.325145,60,52,False,10
497,0,65,7,0,59.0,0.125302,60,52,False,10
498,0,65,8,0,58.0,0.093614,60,52,False,10
499,0,65,9,0,63.0,0.126837,60,52,False,10
500,0,66,0,1,31.0,0.2932,60,40,True,5
501,0,66,1,1,46.0,0.433198,60,40,True,5
502,0,66,2,0,55.0,0.339092,60,40,True,5
503,0,66,3,0,56.0,0.335009,60,40,True,5
504,0,66,4,0,57.0,0.535104,60,40,False,5
505,0,67,0,0,73.0,0.375215,70,40,True,10
506,0,67,1,0,70.0,0.326601,70,40,True,10
507,0,67,2,1,33.0,0.290944,70,40,True,10
508,0,67,3,1,43.0,0.307929,70,40,True,10
